#N = 1000
#Total number of accessible states = 32767
#Number of visited states, Nset.size() = 970
#
#1: state 	 #2: nb of pts in state 	 #3: Pba state
16:	000000000010000 => 1  	  P = 0.001
3756:	000111010101100 => 1  	  P = 0.001
3767:	000111010110111 => 1  	  P = 0.001
3780:	000111011000100 => 1  	  P = 0.001
3817:	000111011101001 => 1  	  P = 0.001
3891:	000111100110011 => 1  	  P = 0.001
3986:	000111110010010 => 1  	  P = 0.001
4019:	000111110110011 => 1  	  P = 0.001
4039:	000111111000111 => 1  	  P = 0.001
4044:	000111111001100 => 1  	  P = 0.001
4070:	000111111100110 => 1  	  P = 0.001
4081:	000111111110001 => 1  	  P = 0.001
4089:	000111111111001 => 1  	  P = 0.001
4101:	001000000000101 => 1  	  P = 0.001
4162:	001000001000010 => 1  	  P = 0.001
4170:	001000001001010 => 1  	  P = 0.001
4187:	001000001011011 => 1  	  P = 0.001
4191:	001000001011111 => 1  	  P = 0.001
4195:	001000001100011 => 1  	  P = 0.001
4270:	001000010101110 => 1  	  P = 0.001
4276:	001000010110100 => 1  	  P = 0.001
4363:	001000100001011 => 1  	  P = 0.001
4425:	001000101001001 => 1  	  P = 0.001
4431:	001000101001111 => 1  	  P = 0.001
4438:	001000101010110 => 1  	  P = 0.001
4454:	001000101100110 => 1  	  P = 0.001
4468:	001000101110100 => 1  	  P = 0.001
4511:	001000110011111 => 1  	  P = 0.001
4525:	001000110101101 => 1  	  P = 0.001
4529:	001000110110001 => 1  	  P = 0.001
4543:	001000110111111 => 1  	  P = 0.001
4552:	001000111001000 => 1  	  P = 0.001
4562:	001000111010010 => 1  	  P = 0.001
4578:	001000111100010 => 1  	  P = 0.001
4636:	001001000011100 => 1  	  P = 0.001
4667:	001001000111011 => 1  	  P = 0.001
4681:	001001001001001 => 1  	  P = 0.001
4692:	001001001010100 => 1  	  P = 0.001
4694:	001001001010110 => 1  	  P = 0.001
4725:	001001001110101 => 1  	  P = 0.001
4772:	001001010100100 => 1  	  P = 0.001
4916:	001001100110100 => 1  	  P = 0.001
4923:	001001100111011 => 1  	  P = 0.001
4930:	001001101000010 => 1  	  P = 0.001
4968:	001001101101000 => 1  	  P = 0.001
5022:	001001110011110 => 1  	  P = 0.001
5024:	001001110100000 => 1  	  P = 0.001
5073:	001001111010001 => 1  	  P = 0.001
5151:	001010000011111 => 1  	  P = 0.001
5165:	001010000101101 => 1  	  P = 0.001
5193:	001010001001001 => 1  	  P = 0.001
5203:	001010001010011 => 1  	  P = 0.001
5204:	001010001010100 => 2  	  P = 0.002
5252:	001010010000100 => 1  	  P = 0.001
5253:	001010010000101 => 1  	  P = 0.001
5272:	001010010011000 => 1  	  P = 0.001
5333:	001010011010101 => 1  	  P = 0.001
5364:	001010011110100 => 1  	  P = 0.001
5365:	001010011110101 => 1  	  P = 0.001
5388:	001010100001100 => 1  	  P = 0.001
5426:	001010100110010 => 1  	  P = 0.001
5536:	001010110100000 => 1  	  P = 0.001
5562:	001010110111010 => 1  	  P = 0.001
5591:	001010111010111 => 1  	  P = 0.001
5646:	001011000001110 => 1  	  P = 0.001
5651:	001011000010011 => 1  	  P = 0.001
5712:	001011001010000 => 1  	  P = 0.001
5800:	001011010101000 => 1  	  P = 0.001
5828:	001011011000100 => 1  	  P = 0.001
5836:	001011011001100 => 1  	  P = 0.001
5873:	001011011110001 => 1  	  P = 0.001
5898:	001011100001010 => 1  	  P = 0.001
5901:	001011100001101 => 1  	  P = 0.001
5909:	001011100010101 => 1  	  P = 0.001
5910:	001011100010110 => 1  	  P = 0.001
5972:	001011101010100 => 1  	  P = 0.001
6040:	001011110011000 => 1  	  P = 0.001
6109:	001011111011101 => 1  	  P = 0.001
6130:	001011111110010 => 1  	  P = 0.001
6133:	001011111110101 => 1  	  P = 0.001
6158:	001100000001110 => 1  	  P = 0.001
6270:	001100001111110 => 1  	  P = 0.001
6272:	001100010000000 => 1  	  P = 0.001
6353:	001100011010001 => 1  	  P = 0.001
6362:	001100011011010 => 1  	  P = 0.001
6366:	001100011011110 => 1  	  P = 0.001
6423:	001100100010111 => 1  	  P = 0.001
6424:	001100100011000 => 1  	  P = 0.001
6442:	001100100101010 => 1  	  P = 0.001
6500:	001100101100100 => 1  	  P = 0.001
6525:	001100101111101 => 1  	  P = 0.001
6593:	001100111000001 => 1  	  P = 0.001
6599:	001100111000111 => 1  	  P = 0.001
6642:	001100111110010 => 1  	  P = 0.001
6728:	001101001001000 => 1  	  P = 0.001
6761:	001101001101001 => 1  	  P = 0.001
6840:	001101010111000 => 1  	  P = 0.001
6868:	001101011010100 => 1  	  P = 0.001
6932:	001101100010100 => 1  	  P = 0.001
6950:	001101100100110 => 1  	  P = 0.001
6992:	001101101010000 => 1  	  P = 0.001
7026:	001101101110010 => 1  	  P = 0.001
7096:	001101110111000 => 1  	  P = 0.001
7204:	001110000100100 => 1  	  P = 0.001
7318:	001110010010110 => 1  	  P = 0.001
7358:	001110010111110 => 1  	  P = 0.001
7388:	001110011011100 => 1  	  P = 0.001
7410:	001110011110010 => 1  	  P = 0.001
7465:	001110100101001 => 1  	  P = 0.001
7470:	001110100101110 => 1  	  P = 0.001
7498:	001110101001010 => 1  	  P = 0.001
7505:	001110101010001 => 1  	  P = 0.001
7523:	001110101100011 => 1  	  P = 0.001
7557:	001110110000101 => 1  	  P = 0.001
7591:	001110110100111 => 2  	  P = 0.002
7618:	001110111000010 => 2  	  P = 0.002
7639:	001110111010111 => 1  	  P = 0.001
7670:	001110111110110 => 1  	  P = 0.001
7682:	001111000000010 => 1  	  P = 0.001
7684:	001111000000100 => 1  	  P = 0.001
7687:	001111000000111 => 1  	  P = 0.001
7816:	001111010001000 => 1  	  P = 0.001
7861:	001111010110101 => 1  	  P = 0.001
7876:	001111011000100 => 1  	  P = 0.001
7882:	001111011001010 => 1  	  P = 0.001
7902:	001111011011110 => 1  	  P = 0.001
7935:	001111011111111 => 1  	  P = 0.001
7961:	001111100011001 => 1  	  P = 0.001
8002:	001111101000010 => 1  	  P = 0.001
8060:	001111101111100 => 1  	  P = 0.001
8061:	001111101111101 => 1  	  P = 0.001
8113:	001111110110001 => 1  	  P = 0.001
8156:	001111111011100 => 1  	  P = 0.001
8214:	010000000010110 => 1  	  P = 0.001
8255:	010000000111111 => 1  	  P = 0.001
8364:	010000010101100 => 1  	  P = 0.001
8369:	010000010110001 => 1  	  P = 0.001
8405:	010000011010101 => 1  	  P = 0.001
8431:	010000011101111 => 1  	  P = 0.001
8468:	010000100010100 => 1  	  P = 0.001
8509:	010000100111101 => 1  	  P = 0.001
8561:	010000101110001 => 1  	  P = 0.001
8582:	010000110000110 => 1  	  P = 0.001
8628:	010000110110100 => 1  	  P = 0.001
8636:	010000110111100 => 1  	  P = 0.001
8662:	010000111010110 => 1  	  P = 0.001
8685:	010000111101101 => 1  	  P = 0.001
8688:	010000111110000 => 1  	  P = 0.001
8693:	010000111110101 => 1  	  P = 0.001
8750:	010001000101110 => 1  	  P = 0.001
8797:	010001001011101 => 1  	  P = 0.001
8805:	010001001100101 => 1  	  P = 0.001
8879:	010001010101111 => 1  	  P = 0.001
8892:	010001010111100 => 1  	  P = 0.001
8928:	010001011100000 => 1  	  P = 0.001
8943:	010001011101111 => 1  	  P = 0.001
8948:	010001011110100 => 1  	  P = 0.001
8968:	010001100001000 => 1  	  P = 0.001
8975:	010001100001111 => 1  	  P = 0.001
9008:	010001100110000 => 1  	  P = 0.001
9087:	010001101111111 => 1  	  P = 0.001
9100:	010001110001100 => 1  	  P = 0.001
9263:	010010000101111 => 1  	  P = 0.001
9267:	010010000110011 => 1  	  P = 0.001
9269:	010010000110101 => 2  	  P = 0.002
9413:	010010011000101 => 2  	  P = 0.002
9431:	010010011010111 => 1  	  P = 0.001
9490:	010010100010010 => 1  	  P = 0.001
9527:	010010100110111 => 1  	  P = 0.001
9544:	010010101001000 => 1  	  P = 0.001
9618:	010010110010010 => 1  	  P = 0.001
9633:	010010110100001 => 1  	  P = 0.001
9667:	010010111000011 => 1  	  P = 0.001
9678:	010010111001110 => 1  	  P = 0.001
9770:	010011000101010 => 1  	  P = 0.001
9784:	010011000111000 => 1  	  P = 0.001
9790:	010011000111110 => 1  	  P = 0.001
9901:	010011010101101 => 1  	  P = 0.001
9905:	010011010110001 => 1  	  P = 0.001
9946:	010011011011010 => 1  	  P = 0.001
10044:	010011100111100 => 2  	  P = 0.002
10077:	010011101011101 => 1  	  P = 0.001
10107:	010011101111011 => 1  	  P = 0.001
10118:	010011110000110 => 1  	  P = 0.001
10138:	010011110011010 => 1  	  P = 0.001
10188:	010011111001100 => 1  	  P = 0.001
10244:	010100000000100 => 1  	  P = 0.001
10288:	010100000110000 => 1  	  P = 0.001
10289:	010100000110001 => 1  	  P = 0.001
10357:	010100001110101 => 1  	  P = 0.001
10534:	010100100100110 => 1  	  P = 0.001
10537:	010100100101001 => 1  	  P = 0.001
10557:	010100100111101 => 1  	  P = 0.001
10566:	010100101000110 => 1  	  P = 0.001
10620:	010100101111100 => 1  	  P = 0.001
10625:	010100110000001 => 1  	  P = 0.001
10684:	010100110111100 => 1  	  P = 0.001
10743:	010100111110111 => 1  	  P = 0.001
10820:	010101001000100 => 1  	  P = 0.001
10852:	010101001100100 => 1  	  P = 0.001
10926:	010101010101110 => 1  	  P = 0.001
10944:	010101011000000 => 1  	  P = 0.001
10968:	010101011011000 => 1  	  P = 0.001
11030:	010101100010110 => 1  	  P = 0.001
11066:	010101100111010 => 1  	  P = 0.001
11137:	010101110000001 => 1  	  P = 0.001
11147:	010101110001011 => 1  	  P = 0.001
11201:	010101111000001 => 1  	  P = 0.001
11229:	010101111011101 => 1  	  P = 0.001
11258:	010101111111010 => 1  	  P = 0.001
11259:	010101111111011 => 1  	  P = 0.001
11262:	010101111111110 => 1  	  P = 0.001
11305:	010110000101001 => 1  	  P = 0.001
11335:	010110001000111 => 1  	  P = 0.001
11344:	010110001010000 => 1  	  P = 0.001
11386:	010110001111010 => 1  	  P = 0.001
11388:	010110001111100 => 1  	  P = 0.001
11394:	010110010000010 => 1  	  P = 0.001
11396:	010110010000100 => 1  	  P = 0.001
11439:	010110010101111 => 1  	  P = 0.001
11469:	010110011001101 => 1  	  P = 0.001
11577:	010110100111001 => 1  	  P = 0.001
11590:	010110101000110 => 1  	  P = 0.001
11614:	010110101011110 => 1  	  P = 0.001
11642:	010110101111010 => 1  	  P = 0.001
11658:	010110110001010 => 1  	  P = 0.001
11684:	010110110100100 => 1  	  P = 0.001
11712:	010110111000000 => 1  	  P = 0.001
11739:	010110111011011 => 1  	  P = 0.001
11753:	010110111101001 => 1  	  P = 0.001
11868:	010111001011100 => 1  	  P = 0.001
11888:	010111001110000 => 2  	  P = 0.002
11909:	010111010000101 => 1  	  P = 0.001
11939:	010111010100011 => 1  	  P = 0.001
11977:	010111011001001 => 1  	  P = 0.001
12108:	010111101001100 => 1  	  P = 0.001
12109:	010111101001101 => 1  	  P = 0.001
12220:	010111110111100 => 1  	  P = 0.001
12243:	010111111010011 => 1  	  P = 0.001
12268:	010111111101100 => 1  	  P = 0.001
12294:	011000000000110 => 1  	  P = 0.001
12321:	011000000100001 => 1  	  P = 0.001
12363:	011000001001011 => 1  	  P = 0.001
12407:	011000001110111 => 1  	  P = 0.001
12415:	011000001111111 => 1  	  P = 0.001
12442:	011000010011010 => 1  	  P = 0.001
12530:	011000011110010 => 1  	  P = 0.001
12555:	011000100001011 => 1  	  P = 0.001
12581:	011000100100101 => 1  	  P = 0.001
12592:	011000100110000 => 1  	  P = 0.001
12636:	011000101011100 => 1  	  P = 0.001
12764:	011000111011100 => 1  	  P = 0.001
12788:	011000111110100 => 1  	  P = 0.001
12921:	011001001111001 => 1  	  P = 0.001
12927:	011001001111111 => 1  	  P = 0.001
13053:	011001011111101 => 1  	  P = 0.001
13083:	011001100011011 => 1  	  P = 0.001
13123:	011001101000011 => 1  	  P = 0.001
13130:	011001101001010 => 1  	  P = 0.001
13177:	011001101111001 => 1  	  P = 0.001
13184:	011001110000000 => 1  	  P = 0.001
13190:	011001110000110 => 1  	  P = 0.001
13198:	011001110001110 => 1  	  P = 0.001
13224:	011001110101000 => 1  	  P = 0.001
13252:	011001111000100 => 1  	  P = 0.001
13279:	011001111011111 => 1  	  P = 0.001
13281:	011001111100001 => 1  	  P = 0.001
13330:	011010000010010 => 1  	  P = 0.001
13342:	011010000011110 => 1  	  P = 0.001
13353:	011010000101001 => 1  	  P = 0.001
13361:	011010000110001 => 1  	  P = 0.001
13368:	011010000111000 => 1  	  P = 0.001
13382:	011010001000110 => 1  	  P = 0.001
13505:	011010011000001 => 2  	  P = 0.002
13551:	011010011101111 => 1  	  P = 0.001
13561:	011010011111001 => 1  	  P = 0.001
13574:	011010100000110 => 1  	  P = 0.001
13614:	011010100101110 => 1  	  P = 0.001
13621:	011010100110101 => 1  	  P = 0.001
13728:	011010110100000 => 1  	  P = 0.001
13749:	011010110110101 => 1  	  P = 0.001
13764:	011010111000100 => 1  	  P = 0.001
13765:	011010111000101 => 1  	  P = 0.001
13777:	011010111010001 => 1  	  P = 0.001
13795:	011010111100011 => 1  	  P = 0.001
13799:	011010111100111 => 1  	  P = 0.001
13823:	011010111111111 => 1  	  P = 0.001
13883:	011011000111011 => 1  	  P = 0.001
13900:	011011001001100 => 1  	  P = 0.001
13902:	011011001001110 => 1  	  P = 0.001
13911:	011011001010111 => 1  	  P = 0.001
13924:	011011001100100 => 1  	  P = 0.001
13977:	011011010011001 => 1  	  P = 0.001
13979:	011011010011011 => 1  	  P = 0.001
14080:	011011100000000 => 1  	  P = 0.001
14084:	011011100000100 => 1  	  P = 0.001
14133:	011011100110101 => 1  	  P = 0.001
14149:	011011101000101 => 1  	  P = 0.001
14165:	011011101010101 => 1  	  P = 0.001
14173:	011011101011101 => 1  	  P = 0.001
14318:	011011111101110 => 1  	  P = 0.001
14324:	011011111110100 => 1  	  P = 0.001
14375:	011100000100111 => 1  	  P = 0.001
14389:	011100000110101 => 1  	  P = 0.001
14411:	011100001001011 => 1  	  P = 0.001
14415:	011100001001111 => 1  	  P = 0.001
14448:	011100001110000 => 1  	  P = 0.001
14454:	011100001110110 => 1  	  P = 0.001
14465:	011100010000001 => 1  	  P = 0.001
14505:	011100010101001 => 1  	  P = 0.001
14649:	011100100111001 => 1  	  P = 0.001
14654:	011100100111110 => 1  	  P = 0.001
14745:	011100110011001 => 1  	  P = 0.001
14762:	011100110101010 => 1  	  P = 0.001
14779:	011100110111011 => 1  	  P = 0.001
14784:	011100111000000 => 1  	  P = 0.001
14804:	011100111010100 => 1  	  P = 0.001
14862:	011101000001110 => 1  	  P = 0.001
14927:	011101001001111 => 1  	  P = 0.001
14932:	011101001010100 => 1  	  P = 0.001
14941:	011101001011101 => 1  	  P = 0.001
14998:	011101010010110 => 1  	  P = 0.001
15025:	011101010110001 => 1  	  P = 0.001
15030:	011101010110110 => 1  	  P = 0.001
15066:	011101011011010 => 1  	  P = 0.001
15073:	011101011100001 => 1  	  P = 0.001
15079:	011101011100111 => 1  	  P = 0.001
15096:	011101011111000 => 1  	  P = 0.001
15100:	011101011111100 => 1  	  P = 0.001
15109:	011101100000101 => 1  	  P = 0.001
15125:	011101100010101 => 1  	  P = 0.001
15151:	011101100101111 => 1  	  P = 0.001
15173:	011101101000101 => 1  	  P = 0.001
15188:	011101101010100 => 1  	  P = 0.001
15205:	011101101100101 => 1  	  P = 0.001
15249:	011101110010001 => 1  	  P = 0.001
15273:	011101110101001 => 1  	  P = 0.001
15282:	011101110110010 => 1  	  P = 0.001
15300:	011101111000100 => 2  	  P = 0.002
15425:	011110001000001 => 1  	  P = 0.001
15431:	011110001000111 => 1  	  P = 0.001
15552:	011110011000000 => 2  	  P = 0.002
15661:	011110100101101 => 1  	  P = 0.001
15662:	011110100101110 => 1  	  P = 0.001
15663:	011110100101111 => 1  	  P = 0.001
15735:	011110101110111 => 1  	  P = 0.001
15785:	011110110101001 => 1  	  P = 0.001
15791:	011110110101111 => 1  	  P = 0.001
15830:	011110111010110 => 1  	  P = 0.001
15857:	011110111110001 => 1  	  P = 0.001
15987:	011111001110011 => 1  	  P = 0.001
15991:	011111001110111 => 1  	  P = 0.001
16006:	011111010000110 => 1  	  P = 0.001
16086:	011111011010110 => 1  	  P = 0.001
16177:	011111100110001 => 1  	  P = 0.001
16192:	011111101000000 => 1  	  P = 0.001
16293:	011111110100101 => 1  	  P = 0.001
16304:	011111110110000 => 1  	  P = 0.001
16349:	011111111011101 => 1  	  P = 0.001
16373:	011111111110101 => 1  	  P = 0.001
16389:	100000000000101 => 1  	  P = 0.001
16408:	100000000011000 => 1  	  P = 0.001
16418:	100000000100010 => 1  	  P = 0.001
16454:	100000001000110 => 1  	  P = 0.001
16456:	100000001001000 => 1  	  P = 0.001
16457:	100000001001001 => 1  	  P = 0.001
16659:	100000100010011 => 1  	  P = 0.001
16661:	100000100010101 => 1  	  P = 0.001
16672:	100000100100000 => 1  	  P = 0.001
16700:	100000100111100 => 1  	  P = 0.001
16729:	100000101011001 => 1  	  P = 0.001
16763:	100000101111011 => 1  	  P = 0.001
16771:	100000110000011 => 1  	  P = 0.001
16806:	100000110100110 => 1  	  P = 0.001
16844:	100000111001100 => 1  	  P = 0.001
16849:	100000111010001 => 1  	  P = 0.001
16957:	100001000111101 => 1  	  P = 0.001
16984:	100001001011000 => 1  	  P = 0.001
17018:	100001001111010 => 1  	  P = 0.001
17036:	100001010001100 => 1  	  P = 0.001
17065:	100001010101001 => 2  	  P = 0.002
17118:	100001011011110 => 1  	  P = 0.001
17182:	100001100011110 => 1  	  P = 0.001
17187:	100001100100011 => 1  	  P = 0.001
17195:	100001100101011 => 1  	  P = 0.001
17197:	100001100101101 => 1  	  P = 0.001
17201:	100001100110001 => 1  	  P = 0.001
17204:	100001100110100 => 1  	  P = 0.001
17269:	100001101110101 => 1  	  P = 0.001
17324:	100001110101100 => 1  	  P = 0.001
17344:	100001111000000 => 1  	  P = 0.001
17359:	100001111001111 => 1  	  P = 0.001
17406:	100001111111110 => 1  	  P = 0.001
17416:	100010000001000 => 1  	  P = 0.001
17460:	100010000110100 => 1  	  P = 0.001
17543:	100010010000111 => 1  	  P = 0.001
17560:	100010010011000 => 1  	  P = 0.001
17569:	100010010100001 => 1  	  P = 0.001
17604:	100010011000100 => 1  	  P = 0.001
17625:	100010011011001 => 1  	  P = 0.001
17657:	100010011111001 => 1  	  P = 0.001
17676:	100010100001100 => 1  	  P = 0.001
17718:	100010100110110 => 1  	  P = 0.001
17726:	100010100111110 => 1  	  P = 0.001
17755:	100010101011011 => 1  	  P = 0.001
17773:	100010101101101 => 1  	  P = 0.001
17809:	100010110010001 => 1  	  P = 0.001
17839:	100010110101111 => 1  	  P = 0.001
17840:	100010110110000 => 1  	  P = 0.001
17927:	100011000000111 => 1  	  P = 0.001
17954:	100011000100010 => 1  	  P = 0.001
17974:	100011000110110 => 1  	  P = 0.001
17977:	100011000111001 => 1  	  P = 0.001
18027:	100011001101011 => 1  	  P = 0.001
18041:	100011001111001 => 1  	  P = 0.001
18043:	100011001111011 => 1  	  P = 0.001
18103:	100011010110111 => 1  	  P = 0.001
18132:	100011011010100 => 1  	  P = 0.001
18139:	100011011011011 => 1  	  P = 0.001
18152:	100011011101000 => 1  	  P = 0.001
18223:	100011100101111 => 1  	  P = 0.001
18235:	100011100111011 => 1  	  P = 0.001
18332:	100011110011100 => 1  	  P = 0.001
18368:	100011111000000 => 1  	  P = 0.001
18406:	100011111100110 => 1  	  P = 0.001
18487:	100100000110111 => 1  	  P = 0.001
18564:	100100010000100 => 1  	  P = 0.001
18605:	100100010101101 => 1  	  P = 0.001
18639:	100100011001111 => 1  	  P = 0.001
18643:	100100011010011 => 1  	  P = 0.001
18670:	100100011101110 => 1  	  P = 0.001
18671:	100100011101111 => 1  	  P = 0.001
18678:	100100011110110 => 1  	  P = 0.001
18714:	100100100011010 => 1  	  P = 0.001
18740:	100100100110100 => 1  	  P = 0.001
18766:	100100101001110 => 1  	  P = 0.001
18795:	100100101101011 => 1  	  P = 0.001
18855:	100100110100111 => 1  	  P = 0.001
18867:	100100110110011 => 1  	  P = 0.001
18903:	100100111010111 => 2  	  P = 0.002
18994:	100101000110010 => 1  	  P = 0.001
19020:	100101001001100 => 1  	  P = 0.001
19046:	100101001100110 => 1  	  P = 0.001
19094:	100101010010110 => 1  	  P = 0.001
19120:	100101010110000 => 1  	  P = 0.001
19184:	100101011110000 => 1  	  P = 0.001
19213:	100101100001101 => 1  	  P = 0.001
19231:	100101100011111 => 1  	  P = 0.001
19294:	100101101011110 => 1  	  P = 0.001
19296:	100101101100000 => 1  	  P = 0.001
19393:	100101111000001 => 1  	  P = 0.001
19412:	100101111010100 => 1  	  P = 0.001
19506:	100110000110010 => 1  	  P = 0.001
19583:	100110001111111 => 1  	  P = 0.001
19594:	100110010001010 => 1  	  P = 0.001
19613:	100110010011101 => 1  	  P = 0.001
19626:	100110010101010 => 1  	  P = 0.001
19664:	100110011010000 => 1  	  P = 0.001
19730:	100110100010010 => 1  	  P = 0.001
19761:	100110100110001 => 1  	  P = 0.001
19764:	100110100110100 => 1  	  P = 0.001
19805:	100110101011101 => 1  	  P = 0.001
19853:	100110110001101 => 1  	  P = 0.001
19872:	100110110100000 => 1  	  P = 0.001
19933:	100110111011101 => 1  	  P = 0.001
20023:	100111000110111 => 1  	  P = 0.001
20028:	100111000111100 => 1  	  P = 0.001
20046:	100111001001110 => 1  	  P = 0.001
20051:	100111001010011 => 1  	  P = 0.001
20053:	100111001010101 => 2  	  P = 0.002
20082:	100111001110010 => 1  	  P = 0.001
20087:	100111001110111 => 1  	  P = 0.001
20106:	100111010001010 => 1  	  P = 0.001
20107:	100111010001011 => 1  	  P = 0.001
20116:	100111010010100 => 1  	  P = 0.001
20131:	100111010100011 => 1  	  P = 0.001
20168:	100111011001000 => 1  	  P = 0.001
20174:	100111011001110 => 1  	  P = 0.001
20179:	100111011010011 => 1  	  P = 0.001
20181:	100111011010101 => 1  	  P = 0.001
20244:	100111100010100 => 1  	  P = 0.001
20252:	100111100011100 => 1  	  P = 0.001
20256:	100111100100000 => 1  	  P = 0.001
20264:	100111100101000 => 1  	  P = 0.001
